,Message,Favourite Count,Retweet Count,Created At,user_name,followers_count
0,Tweeting from command line for the first time #jacksonbigdata,0,0,2019-10-09 00:51:47,Flynn Chen,13
1,RT @DataYale: Risk taking culture extremely important to #innovation - presentation at #jacksonbigdata,0,1,2019-10-07 20:43:41,Jocelyn Mitchell,2
2,Child traffickers hide in plain sight with the help of internet #jacksonbigdata,0,0,2019-10-03 23:51:25,Laisha,14
3,“The internet is a crime scene” #jacksonbigdata,0,0,2019-10-03 23:38:01,Laisha,14
4,"Does defining API as ""the digital standardised front door to a business' data"" make sense to you? #JacksonBigData",0,0,2019-10-03 23:12:39,Homo Data,13
5,"#ThingsIlearnttoday: API is a ""a set of functions and procedures allowing the creation of applications that access… https://t.co/5XEOPshrGp",1,0,2019-10-03 23:11:31,Laisha,14
6,"As you can see from my previous tweet, I forgot that we were meant to do the human trafficking readings for today,… https://t.co/fSyc7s0ubY",0,0,2019-10-03 22:57:19,Willow,16
7,"Granville said fb users were mad that CA collected their likes and friends, but those are available to the public..… https://t.co/77lGpMTRaZ",0,0,2019-10-03 22:47:47,Willow,16
